Lost Messages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Median Latency (ms);485;485;485;485;485;485;485;485;485;485;485;480;485;485;485;485;485;485;485;485
Worst Latency (ms);7210;4770;5400;5720;5910;5750;5330;6325;5705;6655;5120;5570;5730;5645;5745;5595;5735;4740;6775;4905
Best Latency (1%) (ms);10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Expected Messages;1330668;1327120;1330408;1330341;1329961;1329979;1329406;1329174;1331957;1329832;1326953;1330205;1328644;1329616;1328531;1331692;1331832;1331111;1327205;1330722
Average Latency;541;539;541;541;540;540;540;541;539;540;540;538;540;541;539;539;541;541;539;540
Received Messages;1330462;1326928;1330187;1330122;1329737;1329814;1329174;1328995;1331715;1329622;1326727;1329995;1328462;1329384;1328273;1331447;1331613;1330870;1326977;1330472
Standard Deviation (ms);412,32632707601874;412,0934360069328;414,28854678834654;413,36908447536325;413,7740929541143;411,1836572627857;412,9564141649818;413,89612223358654;411,0072992052574;412,0376196417021;411,7705671851741;409,22365523024206;410,44488058690655;412,79292629598194;411,8907622173627;411,3964025122242;412,1140618809312;413,1270990869517;409,9731698538332;411,15204000466787
Messages (CSMA);105967;105652;106591;105264;106615;105651;106042;105787;107374;106565;106415;106752;105823;106423;105228;106157;105977;106470;105959;106334
Collisions;242716;242841;242963;243003;242962;243045;243090;243134;242817;243050;242713;242939;242877;243112;242988;242719;243101;243169;243169;243083
Best Latency (ms);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Average Latency (middle 98%) (ms);541;539;541;541;540;540;540;541;539;540;540;538;540;541;539;539;541;541;539;540
Worst Latency (1%) (ms);1885;1880;1885;1885;1880;1880;1885;1885;1880;1880;1885;1875;1875;1885;1880;1880;1880;1885;1875;1880
